,Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
1545,Dr. Vandhana Manoharan,4,Sadashivanagar,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1546,Dr. Sindhu Hiremath,19,Jayanagar 5 Block,Bangalore,800,Dermatologist,"MBBS, DDV"
1547,Dr. Vani M,8,Koramangala 7 Block,Bangalore,500,Dermatologist,"MBBS, Diploma in Dermatology"
1548,Dr. Deepthi T N,9,JP Nagar,Bangalore,1000,Dermatologist,"MBBS, MD - Dermatology and Venerology"
1549,Dr. Adrian Mario Dsouza,16,Whitefield,Bangalore,800,Dermatologist,"MBBS, DVD, MD - Dermatology , Venereology & Leprosy"
1550,Dr. Vignessh Raj,10,Jeevanbhimanagar,Bangalore,700,Dermatologist,"MBBS, MD - Skin,VD & Leprosy"
1551,Dr. Swetha Gutha,12,Harlur,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology"
1552,Dr. Priyanka Reddy,13,Kalyan Nagar,Bangalore,1500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1553,Dr. Jaya Sharma,21,Kalyan Nagar,Bangalore,650,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1554,Dr. Sachith Abraham,30,Old Airport Road,Bangalore,750,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1555,Dr. Sandhyarani K,13,Sanjay Nagar,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1556,Dr. Roopa Suresh,22,Banashankari,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1557,Dr. Priya J Talageri,18,Marathahalli,Bangalore,700,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS"
1558,Dr. Nithya Raghunath,14,Kalyan Nagar,Bangalore,700,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS"
1559,Dr. Sohandas Shetty B,26,Bannerghatta Road,Bangalore,450,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1560,Dr. Radhakrishna Bhat,25,HSR Layout,Bangalore,1000,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1561,Dr. Ramanjanayalu,7,Kammana Halli,Bangalore,750,Dermatologist,"MBBS, DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy"
1562,Dr. Meera Sreedhar,13,Indiranagar,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1563,Dr. Swagata Chakrabarty,16,Indiranagar,Bangalore,650,Dermatologist,"MBBS, DVD, DNB - Dermatology & Venereology"
1564,Dr. Divyashree R,6,JP Nagar 7 Phase,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1565,Dr. Niranjana Raj,5,Whitefield,Bangalore,750,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS"
1566,Dr. Gogineni Deepti Walvekar,12,Marathahalli,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1567,Dr. Akhilesh A,7,New BEL Road,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship In Cosmetic And Plastic Surgery"
1568,Dr. Anupama MP,5,Jayanagar 4 Block,Bangalore,650,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1569,Dr. Divya Gupta,8,Old Airport Road,Bangalore,900,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1570,Dr. Shraddha Kololgi,23,Jayanagar 4 Block,Bangalore,600,Dermatologist,"MBBS, Diploma in Dermatology"
1571,Dr. Abdul Samad,30,Sadashivanagar,Bangalore,650,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1572,Dr. Praveen Rodrigues,27,Seshadripuram,Bangalore,750,Dermatologist,"MBBS, MD - Dermatology"
1573,Dr. Revanth BN,15,Kalyan Nagar,Bangalore,600,Dermatologist,"MBBS, DDVL"
1574,Dr. Shruthi B R,5,HRBR Layout,Bangalore,600,Dermatologist,"MBBS, MD - (Dermatology & STD)"
1575,Dr. Mamatha P Singuru,14,Ashoknagar,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1576,Dr. Kanchan S Topgi,9,Kundalahalli,Bangalore,600,Dermatologist,"MBBS, DDVL"
1577,Dr. Ambresh Badad,10,Bannerghatta Road,Bangalore,300,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1578,Dr. Bantwal Priya Baliga,8,Malleswaram,Bangalore,500,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1579,Dr. Shwetha H P,11,HSR Layout,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1580,Dr. Chetana,19,Sadashivanagar,Bangalore,600,Dermatologist,"MBBS, DVD"
1581,Dr. Priya Vernekar,13,Whitefield,Bangalore,600,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS"
1582,Dr. Nikhita Shetty,10,Koramangala 7 Block,Bangalore,600,Dermatologist,"MBBS, DDVL"
1583,Dr. Shoba S M,10,Seshadripuram,Bangalore,740,Dermatologist,"MBBS, MD - Dermatology"
1584,Dr. Vasudha Varda,9,Jayanagar,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology"
1585,Dr. Swathi Krishnappa,7,Hebbal,Bangalore,500,Dermatologist,"MBBS, MD - Skin & VD"
1586,Dr. Abhiram Rayapati,12,Kumaraswamy Layout,Bangalore,400,Dermatologist,"DNB - Dermatology & Venereology, MBBS, DDVL"
1587,Dr. Sudha Rani Badri,16,Kundalahalli,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy"
1588,Dr. Namitha S,5,Sarjapur Road,Bangalore,600,Dermatologist,"MBBS, MD - Dermatology"
1589,Dr. Akhila Joshi,15,Old Airport Road,Bangalore,500,Dietitian,MSc - Nutrition and Dietetics
1590,Ms. Sharanya S Shastry,37,Indiranagar,Bangalore,600,Dietitian,M.Sc. - Food and Nutrition
1591,Ms. Rohini Raghu,23,Kaggadasapura,Bangalore,550,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)"
1592,Ms. Silky Mahajan,11,Whitefield,Bangalore,1500,Dietitian,"Diploma in Dietetics & Weight Management, PG Diploma in Preventive & Applied Nutrition"
1593,Ms. Sushmaa Jaiswal,14,Basaveshwaranagar,Bangalore,2000,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)"
1594,Ms. Vani Krishna,15,Koramangala 3 Block,Bangalore,500,Dietitian,M.Sc. - Home Science (Food & Nutrition)
1595,Ms. Shikha Mishra,4,Sarjapur Road,Bangalore,500,Dietitian,B.Sc. - Home Science (Food & Nutrition)
1596,Ms. Sonal Sureka,20,Vasanthnagar,Bangalore,1500,Dietitian,Post Graduation Diploma in Dietetics
1597,Dr. Sharmila Shankar,18,Malleswaram,Bangalore,1000,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN)
1598,Dr. Shailja Jain (PhD) (PhD)   (PhD),28,Basaveshwaranagar,Bangalore,1500,Dietitian,"DNHE, Diploma in Dietetics, Health and Nutrition (DDHN), Post Graduation Diploma in Dietetics and Public Health Nutrition"
1599,Dr. Keerthi Shree Kirisave   (PhD),14,Basaveshwaranagar,Bangalore,750,Dietitian,Post Graduate Diploma in Applied Nutrition and Dietetics
1600,Ms. Anwesa Hajra,18,Whitefield,Bangalore,750,Dietitian,Certificate in Food and Nutrition
1601,Ms. Shalmali Sharma,42,BTM Layout 2nd Stage,Bangalore,600,Dietitian,MSc - Nutrition and Dietetics
1602,Ms. Praseetha,3,Kaggadasapura,Bangalore,600,Dietitian,M.Sc. - Home Science (Food & Nutrition)
1603,Ms. Kavya S,38,Kaggadasapura,Bangalore,250,Dietitian,"MSc - Food and Applied Nutrition, Diploma in Diet and Nutrition"
1604,Dr. Bharathi AV   (PhD),14,Richmond Town,Bangalore,850,Dietitian,BAMS
1605,Ms. Priyanka Wincy R,26,Koramangala 7 Block,Bangalore,500,Dietitian,Post Graduation Diploma in Dietetics and Public Health Nutrition
1606,Dr. Prajna Bhandary,6,Ashoknagar,Bangalore,700,Dietitian,DNHE
1607,Ms. Nida Asgar Ali,31,Ashoknagar,Bangalore,550,Dietitian,MSc - Dietitics / Nutrition
1608,Ms. Uma Trasi,27,Malleswaram,Bangalore,600,Dietitian,MSc. - Dietetics & Food Service Management
1609,Mr. Vishal Kumar Wadi,38,Basaveshwaranagar,Bangalore,250,Dietitian,"Diploma in Diet and Nutrition, BSc - Dietitics / Nutrition"
1610,Ms. Kavya S,28,Indiranagar,Bangalore,1000,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)"
1611,Ms. Rohini Raghu,31,Indiranagar,Bangalore,500,Dietitian,Diploma in Diet and Nutrition
1612,Ms. Arpitha,18,Kodichikkanahalli,Bangalore,750,Dietitian,MSc. - Nutrition Sciences
1613,Dr. K Jyothi Rao,6,Rajarajeshwarinagar,Bangalore,1500,Dietitian,"MSc - Food and Applied Nutrition, Diploma in Naturopathy & Yoga (NDDY)"
1614,Ms. Ranjitha K M,14,Yeshwanthpur,Bangalore,1000,Dietitian,"BAMS, DNHE"
1615,Ms. Priyanka Wincy R,9,Sanjay Nagar,Bangalore,700,Dietitian,Diploma in Nutrition and Health Education
1616,Dr. Shailja Jain (PhD) (PhD)   (PhD),42,Old Airport Road,Bangalore,600,Dietitian,"MSc - Nutrition and Dietetics, BSc. - Home Science"
1617,Ms. Uma Trasi,11,Koramangala 5 Block,Bangalore,500,Dietitian,"BSc - Dietitics / Nutrition, M.Sc. - Food and Nutrition"
1618,Dr. T Ramalakshmi   (PhD),24,JP Nagar 5 Phase,Bangalore,2500,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN)
1619,Dr. Prajna Bhandary,7,Whitefield,Bangalore,800,Dietitian,BSc - Dietitics / Nutrition
1620,Ms. Iffat Fathima,14,Vasanthnagar,Bangalore,750,Dietitian,PGD in Nutrition and Dietetics
1621,Ms. Anwesa Hajra,6,Whitefield,Bangalore,600,Dietitian,M.Sc. - Home Science (Food & Nutrition)
1622,Ms. Nida Asgar Ali,12,HBR Layout,Bangalore,550,Dietitian,MSc. - Nutrition Sciences
1623,Ms. Anwesha,27,Kumaraswamy Layout,Bangalore,700,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN)
1624,Dr. Shradha Shejekar,10,Mathikere - BEL,Bangalore,1500,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1625,Dr. Manjunath H,24,Sahakaranagar,Bangalore,800,Psychiatrist,"DPM (Psychiatry), MBBS"
1626,Dr. Safiya M.S,18,Hebbal,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1627,Dr. Lakshmi S,15,Yelahanka,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1628,Dr. Venkatesh Babu G M,17,Basaveshwaranagar,Bangalore,1500,Psychiatrist,"MBBS, DNB - Psychiatry"
1629,Dr. Sumanth T P,17,Indiranagar,Bangalore,2830,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1630,Dr. Kapur B,45,Koramangala 6 Block,Bangalore,750,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1631,Dr. Sony Mathews Lukose,13,Seshadripuram,Bangalore,850,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry"
1632,Dr. Vijayakumar D.R,29,Indiranagar,Bangalore,1000,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry"
1633,Dr. V Srinivas Reddy,29,Jayanagar,Bangalore,1000,Psychiatrist,"M.D. (Psychiatry), MBBS"
1634,Dr. Pavana.S,16,Whitefield,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1635,Dr. Anand Jayaraman,26,Vijayanagar,Bangalore,1500,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1636,Dr. Dhruva Ithal,11,Sahakaranagar,Bangalore,1000,Psychiatrist,"DNB - Psychiatry, MBBS"
1637,Dr. Vijay Mehtry,15,Indiranagar,Bangalore,800,Psychiatrist,"DNB - Psychiatry, MBBS"
1638,Dr. Gajanan Kulkarni,15,Sahakaranagar,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1639,Dr. Harsha GT,10,Vijayanagar,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1640,Dr. Sudhir Hebbar,30,Yelahanka,Bangalore,800,Psychiatrist,"MBBS, M.D. (Psychiatry), DPM (Psychiatry)"
1641,Dr. Swapna B,21,Marathahalli,Bangalore,1500,Psychiatrist,"MBBS, DPM (Psychiatry)"
1642,Dr. Vidhyavathi M,17,Indiranagar,Bangalore,1250,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1643,Dr. Vanishree B N,6,New Thippasandra,Bangalore,1100,Psychiatrist,"DNB - Psychiatry, MBBS"
1644,Dr. Kaustubh Gosavi,35,Indiranagar,Bangalore,1000,Psychiatrist,"M.D. (Psychiatry), MBBS"
1645,Dr. Valli Kiran Manduva,17,Rajarajeshwarinagar,Bangalore,1500,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1646,Dr. Supriya Dsilva,15,Sarjapur Road,Bangalore,1050,Psychiatrist,"MBBS, DNB - Psychiatry"
1647,Dr. Ruchi Gupta,45,Yelahanka,Bangalore,1500,Psychiatrist,"M.D. (Psychiatry), MBBS"
1648,Dr. B Ooha Susmita,17,Indiranagar,Bangalore,499,Psychiatrist,"M.D. (Psychiatry), MBBS"
1649,Dr. Anand,23,Mahadevapura,Bangalore,1000,Psychiatrist,"MBBS, DNB - Psychiatry"
1650,Dr. Ashok Shetty,18,Vijayanagar,Bangalore,900,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1651,Dr. Meena Gnanasekharan,31,Hebbal,Bangalore,2830,Psychiatrist,"MBBS, DPM (Psychiatry), DNB - Psychiatry"
1652,Dr. Shobha Krishna,9,Jayanagar,Bangalore,1500,Psychiatrist,"M.D. (Psychiatry), MBBS"
1653,Dr. M Diwakar,21,Cox Town,Bangalore,1000,Psychiatrist,"MBBS, DPM (Psychiatry)"
1654,Dr. D. Akshatha Gowda,30,Vijayanagar,Bangalore,800,Psychiatrist,"MD - Psychological Medicine, MBBS"
1655,Dr. Shilpa Sri S.K,16,Basaveshwaranagar,Bangalore,850,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1656,Dr. Krishen Ranganath,8,Seshadripuram,Bangalore,740,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1657,Dr. Kiran Kumar K,15,Marathahalli,Bangalore,800,Psychiatrist,"M.D. (Psychiatry), MBBS"
1658,Dr. Ravi Prakash,8,Mathikere - BEL,Bangalore,1200,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1659,Dr. Bhupendra Chaudhry,14,Koramangala 5 Block,Bangalore,1200,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1660,Dr. Sushruth,23,Indiranagar,Bangalore,750,Psychiatrist,"MBBS, DNB - Psychiatry"
1661,Dr. Sandip Deshpande,17,Indiranagar,Bangalore,1500,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1662,Dr. Shivadev M,10,Koramangala 6 Block,Bangalore,1000,Psychiatrist,"MBBS, DNB - Psychiatry"
1663,Dr. Satish Ramaiah,13,Yelahanka,Bangalore,1500,Psychiatrist,"M.D. (Psychiatry), MBBS"
1664,Dr. Naveen Jayaram,15,Whitefield,Bangalore,850,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1665,Dr. Bhargavaraman R P,23,Koramangala,Bangalore,1050,Psychiatrist,"M.D. (Psychiatry), MBBS"
1666,Dr. Khushboo Dewani,9,Nagarbhavi,Bangalore,499,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1667,Dr. Lavanya,18,Vidyaranyapura,Bangalore,1500,Psychiatrist,"MBBS, DNB - Psychiatry"
1668,Dr. Madalsa Agrawal,11,New Thippasandra,Bangalore,1200,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1669,Dr. Sreelakshmi Sharma,8,Indiranagar,Bangalore,1500,Psychiatrist,"MBBS, DNB - Psychiatry"
1670,Dr. Shreedhar K B,21,Koramangala,Bangalore,740,Psychiatrist,"MBBS, DNB - Psychiatry"
1671,Dr. Raja Hiremani,21,Koramangala,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1672,Dr. Vyjayanti Bonanthaya,35,Old Airport Road,Bangalore,700,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1673,Dr. Divya Ganesh Nallur,23,Indiranagar,Bangalore,1600,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1674,Dr. Megha Mahajan,14,Bannerghatta Road,Bangalore,850,Psychiatrist,"M.D. (Psychiatry), MBBS"
1675,Dr. Guru Prakash K V,17,Vijayanagar,Bangalore,1200,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1676,Dr. Vidhya Jothi.N,7,Yelahanka,Bangalore,1500,Psychiatrist,"M.D. (Psychiatry), MBBS"
1677,Dr. Sabina Rao,23,Sarjapur Road,Bangalore,1500,Psychiatrist,"MBBS, MRCPsych, M.D. (Psychiatry)"
1678,Dr. Vachana,7,Kundalahalli,Bangalore,1200,Psychiatrist,"M.D. (Psychiatry), MBBS"
1679,Dr. Vani P,5,HSR Layout,Bangalore,1200,Psychiatrist,"M.D. (Psychiatry), MBBS, Master of Public Health (MPH)"
1680,Dr. Bhavya K Bairy,11,Sampangiramnagar,Bangalore,1200,Psychiatrist,"MBBS, M.D. (Psychiatry), DNB - Psychiatry"
1681,Dr. Anitha Chandra,23,Sahakaranagar,Bangalore,1100,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1682,Dr. Vidya M K,15,Yelahanka,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1683,Dr. Vikram Arunachalam,21,Malleswaram,Bangalore,1250,Psychiatrist,"MBBS, DPM (Psychiatry)"
1684,Dr. Adarsh B,5,Nagasandra,Bangalore,700,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1685,Dr. Prakruthi N,12,Whitefield,Bangalore,1000,Psychiatrist,"MBBS, DNB - Psychiatry"
1686,Dr. R Prabhu,27,Yelahanka,Bangalore,2000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1687,Dr. Vishukumar H S,14,Bellandur,Bangalore,1200,Psychiatrist,"MBBS, DNB - Psychiatry"
1688,Dr. Soumya P,13,Indiranagar,Bangalore,1400,Psychiatrist,"M.D. (Psychiatry), MBBS"
1689,Dr. Shruti Nair,5,Indiranagar,Bangalore,1000,Psychiatrist,"MBBS, M.D. (Psychiatry)"
1690,Dr. Venkateshwara Rao K,21,Kalyan Nagar,Bangalore,850,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1691,Dr. Udaybhaskar M,18,Jayanagar 9 Block,Bangalore,750,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1692,Dr. Prathik R,10,Seshadripuram,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1693,Dr. Sriharsha Ajjur,19,BTM Layout,Bangalore,800,Urologist,"MBBS, MS - General Surgery, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1694,Dr. Nagasubramanyam S,40,Jayanagar 9 Block,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1695,Dr. Anand Arumugam,19,Whitefield,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology, Fellowship in Laparoscopic and Robotic Surgical Oncology"
1696,Dr. Chethan J V,16,Whitefield,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1697,Dr. Gokula Krishnan P J,19,Kalyan Nagar,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1698,Dr. Maneesh Sinha,30,Padmanabhanagar,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1699,Dr. Kumar Prabhu,26,Padmanabhanagar,Bangalore,750,Urologist,"MCh - Urology, MBBS, MS - General Surgery"
1700,Dr. Premkumar K,18,Rajajinagar,Bangalore,630,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1701,Dr. Sanjeev S Tonshal,21,Hebbal,Bangalore,1000,Urologist,"MCh - Urology, MS - General Surgery, MBBS"
1702,Dr. Mahesh Babu,14,Banashankari,Bangalore,600,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1703,Dr. Govardhan Reddy,29,Hebbal,Bangalore,1000,Urologist,"MCh - Urology, MS - General Surgery, MBBS"
1704,Dr. Rajeev Bashetty,21,HSR Layout,Bangalore,900,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1705,Dr. Girish H,22,Bannerghatta Road,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1706,Dr. Dilip Dhanpal,46,Koramangala 5 Block,Bangalore,600,Urologist,"MBBS, Diploma in Urology"
1707,Dr. Pramod B R,22,Jayanagar,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1708,Dr. Chandrashekar,23,Nagasandra,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MNAMS - Urology"
1709,Dr. Vinod Kumar P,14,Padmanabhanagar,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1710,Dr. Deepak Bolbandi,30,Bannerghatta Road,Bangalore,850,Urologist,"MBBS, MS - General Surgery, Diploma in Urology"
1711,Dr. Ajay Shetty,19,Hebbal,Bangalore,1090,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1712,Dr. Vikram G.D.,16,Hebbal,Bangalore,800,Urologist,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS"
1713,Dr. Vinay Patil,26,Hebbal,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1714,Dr. Deepak Dubey,34,Old Airport Road,Bangalore,900,Urologist,"MBBS, MS - General Surgery, Diploma in Urology"
1715,Dr. Praveen B Sancheti,17,Banashankari 3rd Stage,Bangalore,400,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1716,Dr. Ajay S Shetty,24,Yeshwanthpur,Bangalore,950,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1717,Dr. Prabhudev Salanki,34,Seshadripuram,Bangalore,740,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1718,Dr. Prasanna Venkatesh M. K,20,Rajajinagar,Bangalore,800,Urologist,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS"
1719,Dr. Somanna M,37,Old Airport Road,Bangalore,900,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1720,Dr. Shakir Tabrez,21,Cunningham Road,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1721,Dr. Kunal K Mehra,13,Kundalahalli,Bangalore,800,Urologist,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery"
1722,Dr. Moin Mohammed Bhavikatti,11,Sarjapur Road,Bangalore,750,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology"
1723,Dr. Pramod K,14,Rajajinagar,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1724,Dr. Mahendra Jain,34,Bannerghatta Road,Bangalore,650,Urologist,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS"
1725,Dr. Harsha R,10,Sarjapur Road,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1726,Dr. I R Ravish,27,JP Nagar,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1727,Dr. Narendra,25,Kengeri,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1728,Dr. Mohan Keshavamurthy,30,Bannerghatta Road,Bangalore,1500,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1729,Dr. Nithyananda H A,13,Kalyan Nagar,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1730,Dr. Anuj Jain,14,Bannerghatta Road,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery"
1731,Dr. Mohan,16,Millers Road,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1732,Dr. G.R.Manjunath,13,Nagasandra,Bangalore,600,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery"
1733,Dr. A Nagaraj Rao,25,Rajarajeshwarinagar,Bangalore,850,Urologist,"MCh - Urology, MBBS, MS - General Surgery"
1734,Dr. Nagarjuna Reddy,9,Padmanabhanagar,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1735,Dr. Vishruth K Raj,13,Banashankari 3rd Stage,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery"
1736,Dr. Saurabh Vashistha,11,Old Airport Road,Bangalore,900,Urologist,"MCh - Urology, DNB - General Surgery, MBBS"
1737,Dr. Mohan Balaiah Aswathaiya,16,Cunningham Road,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1738,Dr. Giridhar Venkatesh,15,Electronics City,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1739,Dr. Avinash T S,22,Yeshwanthpur,Bangalore,850,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1740,Dr. Mohan,15,HSR Layout,Bangalore,700,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1741,Dr. Raghunath S K,33,Seshadripuram,Bangalore,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1742,Dr. Manohar Badrappa,15,Banashankari 3rd Stage,Bangalore,400,Urologist,"MBBS, MS - General Surgery, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1743,Dr. Ajay S Shetty,10,Seshadripuram,Bangalore,740,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
1744,Dr. Chandrashekar,18,Seshadripuram,Bangalore,740,Urologist,"MBBS, MS - General Surgery, MCh - Urology, Fellowship in Laparoscopic and Robotic Surgical Oncology"
1745,Dr. Pramod Shivaram Bhat,21,Sarjapur Road,Bangalore,850,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1746,Dr. Saurabh Vashistha,12,Millers Road,Bangalore,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1747,Dr. Mohan Balaiah Aswathaiya,38,Padmanabhanagar,Bangalore,750,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
1748,Dr. Vinay Patil,21,Rajajinagar,Bangalore,600,Urologist,"MCh - Urology, MBBS, MS - General Surgery"
1749,Dr. Santosh Bethur S,30,Bellandur,Bangalore,650,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
1750,Dr. Praveen B Sancheti,24,Old Airport Road,Bangalore,850,Urologist,"MCh - Urology, MS - General Surgery, MBBS"
1751,Dr. Moin Mohammed Bhavikatti,27,Indiranagar,Bangalore,600,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
